sample_id,relative_path,split,x_start,x_end,y_start,y_end,z_start,z_end,susceptibility_si,tmi_min_nt,tmi_max_nt
sample_000000,samples/sample_000000.npz,train,21,37,45,50,16,19,0.04830976750599072,-0.8857455464460326,11.632621645798007
sample_000001,samples/sample_000001.npz,train,42,49,34,43,7,12,0.039683749050188746,-5.022029950165056,67.68457894393725
sample_000002,samples/sample_000002.npz,train,45,53,24,40,13,20,0.038499973082016976,-2.958231576923737,40.816719097022016
sample_000003,samples/sample_000003.npz,train,26,33,8,20,10,15,0.04911894392562448,-3.844245608176135,52.428602054383106
sample_000004,samples/sample_000004.npz,train,44,54,20,32,14,16,0.021850384022255677,-0.5861443605983929,7.824000264022694
sample_000005,samples/sample_000005.npz,train,46,54,42,49,16,20,0.05518046049235029,-0.8888772637453513,12.879118744870885
sample_000006,samples/sample_000006.npz,train,25,35,24,37,8,13,0.057586580002145976,-10.510710195091617,127.55456065324401
sample_000007,samples/sample_000007.npz,train,40,54,34,48,15,20,0.08852891225225651,-6.279849324162847,81.99858393345187
sample_000008,samples/sample_000008.npz,train,16,29,40,53,13,16,0.0990744432862873,-5.999776942128403,75.58097534936367
sample_000009,samples/sample_000009.npz,train,39,50,32,36,14,17,0.04398777892753636,-0.6355011685662295,8.79628384581057
