sample_id,relative_path,split,x_start,x_end,y_start,y_end,z_start,z_end,susceptibility_si,tmi_min_nt,tmi_max_nt
sample_000000,samples/sample_000000.npz,train,21,37,45,50,16,19,0.04830976750599072,-0.8857455464460326,11.632621645798006
sample_000001,samples/sample_000001.npz,train,42,49,34,43,7,12,0.039683749050188746,-5.022029950165055,67.68457894393725
sample_000002,samples/sample_000002.npz,train,45,53,24,40,13,20,0.038499973082016976,-2.9582315769237364,40.816719097022045
sample_000003,samples/sample_000003.npz,train,26,33,8,20,10,15,0.04911894392562448,-3.844245608176134,52.42860205438312
sample_000004,samples/sample_000004.npz,train,44,54,20,32,14,16,0.021850384022255677,-0.5861443605983929,7.824000264022693
sample_000005,samples/sample_000005.npz,train,46,54,42,49,16,20,0.05518046049235029,-0.8888772637453511,12.879118744870885
sample_000006,samples/sample_000006.npz,train,25,35,24,37,8,13,0.057586580002145976,-10.510710195091617,127.55456065324402
sample_000007,samples/sample_000007.npz,train,40,54,34,48,15,20,0.08852891225225651,-6.279849324162847,81.9985839334519
sample_000008,samples/sample_000008.npz,train,16,29,40,53,13,16,0.0990744432862873,-5.999776942128401,75.58097534936365
sample_000009,samples/sample_000009.npz,train,39,50,32,36,14,17,0.04398777892753636,-0.6355011685662295,8.796283845810573
sample_000010,samples/sample_000010.npz,train,16,32,37,53,10,17,0.06936337017329094,-17.30136317380882,197.57384418808041
sample_000011,samples/sample_000011.npz,train,50,55,13,25,7,15,0.07757687209728543,-10.305717307792557,147.59834747671934
sample_000012,samples/sample_000012.npz,train,16,31,23,32,10,16,0.07660920258579275,-10.552082955642717,129.01058097057157
sample_000013,samples/sample_000013.npz,train,8,19,43,53,5,12,0.07442144186775494,-30.352130288438392,346.81374373844193
sample_000014,samples/sample_000014.npz,train,23,28,10,19,15,20,0.0019336883342920422,-0.03375855697867295,0.4971837100189185
sample_000015,samples/sample_000015.npz,train,21,34,24,32,14,17,0.05848742021596922,-1.9302241368559736,25.5439023619719
sample_000016,samples/sample_000016.npz,train,19,35,21,36,4,10,0.0878613697436218,-82.75114123795473,605.715345482814
sample_000017,samples/sample_000017.npz,train,45,52,18,28,6,13,0.03256369581192627,-6.561381535897144,89.26273507011854
sample_000018,samples/sample_000018.npz,train,34,45,17,28,13,17,0.06976164115689469,-3.836956462649131,51.2427508647112
sample_000019,samples/sample_000019.npz,train,26,37,36,42,12,20,0.009634832840560693,-0.524423320757257,7.548451560375245
sample_000020,samples/sample_000020.npz,train,25,38,21,29,6,11,0.041557793780743896,-11.170598323726113,121.27898870535495
sample_000021,samples/sample_000021.npz,train,30,36,11,21,3,8,0.024567051899387904,-11.058339999606016,123.37947760684793
