sample_id,relative_path,split,x_start,x_end,y_start,y_end,z_start,z_end,susceptibility_si,susceptibility_log10,tmi_min_nt,tmi_max_nt,peak_absolute_tmi_nt
sample_000000,samples/sample_000000.npz,train,21,37,45,50,16,19,0.002714121706456994,-2.566370681636645,-0.049762634599206136,0.6535397244878295,0.6535397244878295
sample_000001,samples/sample_000001.npz,train,42,49,34,43,7,12,0.0014867392935613251,-2.8277651802973107,-0.18814878790283368,2.5357816688442703,2.5357816688442703
sample_000002,samples/sample_000002.npz,train,45,53,24,40,13,20,0.0013688719385050205,-2.863637179332819,-0.10518033284466265,1.4512440924980885,1.4512440924980885
sample_000003,samples/sample_000003.npz,train,26,33,8,20,10,15,0.002871771068586256,-2.541850184071986,-0.22475633001677112,3.0652724582921587,3.0652724582921587
sample_000004,samples/sample_000004.npz,train,44,54,20,32,14,16,0.00042838062374426,-3.3681701811437676,-0.011491462818443222,0.15339089509232623,0.15339089509232623
sample_000005,samples/sample_000005.npz,train,46,54,42,49,16,20,0.0043836122927475695,-2.358167863868173,-0.07061364478894688,1.0231350866293731,1.0231350866293731
sample_000006,samples/sample_000006.npz,train,25,35,24,37,8,13,0.00518495329312759,-2.285255151450122,-0.9463583170288635,11.484696762501489,11.484696762501489
sample_000007,samples/sample_000007.npz,train,40,54,34,48,15,20,0.0449149872124939,-1.3476087196285906,-3.1860705641434683,41.60183805152772,41.60183805152772
sample_000008,samples/sample_000008.npz,train,16,29,40,53,13,16,0.09374601743068571,-1.0280471731428094,-5.67709633978107,71.51607178928568,71.51607178928568
sample_000009,samples/sample_000009.npz,train,39,50,32,36,14,17,0.002007520401473619,-2.6973400324988983,-0.02900309076809792,0.4014460262560632,0.4014460262560632
sample_000010,samples/sample_000010.npz,train,16,32,37,53,10,17,0.01179280936251106,-1.9283827220214866,-2.9414903272432977,33.5905064680272,33.5905064680272
sample_000011,samples/sample_000011.npz,train,50,55,13,25,7,15,0.020917572151127377,-1.6794887243246839,-2.7787995162866177,39.797930054115106,39.797930054115106
sample_000012,samples/sample_000012.npz,train,16,31,23,32,10,16,0.019551854521673264,-1.708812042854765,-2.693054970088333,32.92549800236282,32.92549800236282
sample_000013,samples/sample_000013.npz,train,8,19,43,53,5,12,0.016783872735770894,-1.775107822189244,-6.845154671022571,78.21506086610046,78.21506086610046
sample_000014,samples/sample_000014.npz,train,23,28,10,19,15,20,0.00010673173908927172,-3.9717064141123624,-0.0018633352731638152,0.027442522045772536,0.027442522045772536
sample_000015,samples/sample_000015.npz,train,21,34,24,32,14,17,0.005521321506594749,-2.257956963152448,-0.18221676607353254,2.411392124066001,2.411392124066001
sample_000016,samples/sample_000016.npz,train,19,35,21,36,4,10,0.04287091171140586,-1.3678372804963095,-40.3774388039508,295.55162537901856,295.55162537901856
sample_000017,samples/sample_000017.npz,train,45,52,18,28,6,13,0.000904639674748386,-3.0435243693355676,-0.18227923738022664,2.4797739905898823,2.4797739905898823
sample_000018,samples/sample_000018.npz,train,34,45,17,28,13,17,0.012125121402607878,-1.9163139043365245,-0.6668931829424899,8.9063927515357,8.9063927515357
sample_000019,samples/sample_000019.npz,train,26,37,36,42,12,20,0.00018266763299548786,-3.738338398770888,-0.009942587170431678,0.14311174707570123,0.14311174707570123
sample_000020,samples/sample_000020.npz,train,25,38,21,29,6,11,0.0016944316461380456,-2.770975946038064,-0.4554576679695026,4.944895856842105,4.944895856842105
sample_000021,samples/sample_000021.npz,train,30,36,11,21,3,8,0.0005177893193943106,-3.2858469121397604,-0.23307193392477102,2.6004168305080637,2.6004168305080637
sample_000022,samples/sample_000022.npz,train,22,31,40,56,7,15,0.0009487141926211728,-3.0228646023908006,-0.2722032990942733,3.344300216636579,3.344300216636579
sample_000023,samples/sample_000023.npz,train,28,42,29,34,5,13,0.00012490923537942242,-3.9034054501283277,-0.035597564100943974,0.4124213240775291,0.4124213240775291
sample_000024,samples/sample_000024.npz,train,28,39,13,18,15,17,0.060069332273364674,-1.2213471956139048,-0.6567889867186093,9.063146989311821,9.063146989311821
